"Edat";"Sexe";"H";"Pes";"D2";"D4";"MO";"PC";"Envas";"Vidre";"Aspecte"
56;"M";172;76;80;80;"S";"S";"S";"S";"F"
19;"F";166;58;76;71;"N";"S";"S";"S";"E"
45;"F";166;58;70;71;"S";"N";"N";"N";"T"
20;"F";166;55;63;72;"N";"N";"S";"S";"E"
19;"M";192;84;81;84;"N";"N";"N";"S";"T"
19;"M";180;70;73;71;"S";"S";"N";"S";"E"
23;"F";163;54;69;61;"N";"N";"N";"N";"E"
42;"M";170;70;60;65;"N";"N";"N";"N";"T"
58;"M";178;70;80;85;"S";"S";"S";"S";"E"
32;"F";169;49;67;67;"N";"N";"N";"N";"E"
19;"M";172;65;81;84;"N";"S";"S";"S";"E"
21;"F";160;60;65;62;"S";"S";"S";"S";"T"
30;"F";164;60;67;70;"N";"N";"N";"N";"E"
24;"F";159;48;65;63;"N";"S";"S";"S";"E"
18;"F";171;70;70;69;"N";"N";"N";"S";"E"
21;"F";172;56;72;74;"S";"S";"S";"S";"T"
25;"M";181;72;80;77;"N";"S";"S";"S";"M"
33;"F";173;70;71;74;"N";"N";"N";"N";"T"
40;"M";172;72;77;82;"S";"S";"S";"S";"M"
23;"M";182;100;76;79;"N";"S";"S";"S";"F"
20;"M";180;68;84;87;"N";"N";"N";"S";"E"
34;"F";162;74;74;69;"S";"S";"S";"S";"F"
34;"F";168;52;74;73;"S";"S";"S";"S";"M"
40;"F";157;55;70;70;"S";"S";"S";"S";"E"
55;"F";161;63;65;70;"N";"S";"N";"S";"E"
24;"M";170;58;72;73;"S";"S";"S";"S";"T"
51;"F";156;58;68;73;"S";"S";"S";"S";"T"
20;"M";175;70;75;76;"S";"S";"S";"S";"E"
19;"M";189;71;78;76;"S";"S";"S";"S";"E"
21;"F";158;52;68;69;"S";"S";"S";"S";"F"
35;"F";160;57;62;64;"S";"S";"S";"S";"E"
20;"M";180;80;70;71;"S";"S";"S";"S";"T"
33;"F";174;56;80;75;"S";"S";"S";"S";"F"
45;"F";154;52;63;63;"N";"S";"S";"N";"E"
19;"F";168;65;75;65;"N";"N";"N";"N";"E"
25;"F";164;56;70;70;"N";"S";"S";"S";"E"
19;"M";183;66;81;80;"N";"N";"N";"N";"T"
44;"F";162;81;65;64;"N";"N";"N";"S";"E"
31;"M";165;70;65;63;"N";"N";"N";"S";"E"
18;"F";169;58;72;73;"N";"S";"S";"N";"T"
42;"F";166;67;70;70;"N";"S";"S";"S";"M"
60;"M";168;74;80;76;"N";"N";"N";"N";"T"
21;"M";186;71;72;78;"N";"N";"N";"N";"E"
18;"F";169;54;72;74;"N";"N";"N";"N";"F"
53;"F";168;51;64;64;"N";"N";"N";"N";"T"
27;"M";172;76;72;74;"S";"N";"N";"N";"T"
21;"M";183;105;72;73;"N";"N";"N";"S";"M"
19;"M";178;60;62;65;"N";"S";"N";"S";"F"
55;"M";173;80;70;69;"N";"N";"N";"S";"T"
32;"M";180;78;76;78;"S";"S";"S";"S";"E"
28;"F";172;60;85;90;"S";"N";"N";"S";"E"
21;"M";173;66;81;72;"S";"S";"S";"S";"T"
28;"M";189;85;80;77;"N";"S";"S";"S";"E"
28;"M";165;71;70;72;"S";"S";"S";"S";"E"
18;"F";169;55;70;70;"S";"N";"S";"S";"T"
73;"M";158;59;66;67;"N";"N";"N";"N";"E"
18;"F";157;45;63;65;"S";"S";"S";"S";"E"
20;"F";155;53;70;65;"N";"S";"N";"S";"E"
19;"M";175;59;72;70;"N";"N";"N";"N";"F"
37;"M";185;85;74;74;"S";"S";"S";"S";"T"
34;"F";162;56;65;70;"N";"N";"N";"N";"E"
54;"F";158;51;70;72;"N";"S";"S";"N";"F"
19;"M";186;79;76;79;"S";"S";"S";"S";"E"
28;"M";180;68;70;69;"N";"N";"N";"S";"F"
20;"M";164;66;64;61;"N";"N";"N";"N";"T"
20;"F";169;64;70;68;"S";"S";"S";"S";"M"
66;"F";168;72;65;65;"S";"S";"S";"S";"E"
60;"M";169;69;70;68;"S";"S";"S";"S";"E"
51;"M";163;81;74;76;"N";"S";"S";"S";"E"
20;"F";150;48;62;66;"S";"S";"S";"S";"E"
22;"F";167;60;70;73;"N";"S";"S";"S";"T"
18;"F";162;60;65;70;"S";"S";"S";"S";"E"
20;"F";170;58;69;72;"S";"S";"N";"S";"E"
35;"M";180;69;83;85;"S";"N";"N";"N";"M"
37;"M";178;77;80;86;"S";"N";"S";"S";"E"
25;"M";168;63;66;69;"N";"N";"N";"S";"T"
27;"M";190;90;80;75;"N";"S";"S";"S";"E"
